iw7_addr,proposed_name,iw7_existing_name,iw8_addr,confidence,score,margin,evidence,prototype
0x141229310,?0FlightDynamicsManager,,0x140329360,low,1.905,0.055,3 shared rare constants; struct_sim=0.47; demoted: runner-up within 0.05,void __fastcall(FlightDynamicsManager *this)
0x140C1F140,Bot_TraversalClear,,0x14160E0D0,low,1.905,1.905,1 shared rare constant; struct_sim=0.60,void __fastcall(bot_info_t *botInfo)
0x1413FFAF0,Load_ProcessStructLayout_WeaponDef,,0x1404F9DD0,low,1.904,1.904,1 shared string literal; struct_sim=0.46,void(void)
0x140D72DB0,XAnimAllocInfoWithParent,,0x141933B40,low,1.904,1.904,1 shared string literal; struct_sim=0.45,"__int64 __usercall@<rax>(XAnimTree *tree@<rcx>, const XAnimSubTreeID subTreeID@<edx>, XAnimToXModel *animToModel@<r8>, unsigned int animIndex@<r9d>, __int128 *__struct_ptr _XMM0@<xmm0>, unsigned __int16 parentInfoIndex, int after)"
0x14BFA9237,_anonymous_namespace_::hkImageFormatMetaData_Init::hkImageFormatMetaData_Init,,0x142E0C7F0,low,1.904,0.189,2 shared rare constants; struct_sim=0.74; demoted: runner-up within 0.19,__int64 __fastcall(__int64)
0x140E54A50,RB_InitOcclusionQueryBatch,,0x142402FC0,low,1.903,0.011,2 shared rare constants; struct_sim=0.74; demoted: runner-up within 0.01,"GfxVertex *__fastcall(GfxCmdBufContext gfxContext, GfxColor color, bool setTechnique)"
0x14B9E19C2,ReflectionProbe_DiskImageTypeGetName,,0x142312D30,low,1.901,0.067,1 shared string literal; struct_sim=0.33,const char *__fastcall(const DiskGfxReflectionProbeImageType imageType)
0x1406129B0,index2adr,,0x1437F84D0,low,1.901,0.0,3 shared rare constants; struct_sim=0.47; demoted: runner-up within 0.00,"TValue *__fastcall(lua_State *L, int idx)"
0x1400063B0,_dynamic_initializer_for__s_umbraThreadLocalOcclusionBuffers__,,0x140163E40,low,1.9,1.009,1 shared rare constant; struct_sim=1.00,void()
0x14001B800,_dynamic_initializer_for__s_umbraThreadLocalOcclusionBuffers__,,0x140163E40,low,1.9,1.009,1 shared rare constant; struct_sim=1.00,void()
